_framework_ref,id,framework,domain,sub_domain,control,detail
ISM-1504,ISM-1504,Essential8-ML1,Multi-factor authentication,"Multi-factor authentication is used to authenticate users to their organisation's online services that process, store or communicate their organisation's sensitive data.","Multi-factor authentication is used to authenticate users to their organisation's online services that process, store or communicate their organisation's sensitive data.",
ISM-1507,ISM-1507,Essential8-ML1,Restrict administrative privileges,"Requests for privileged access to systems, applications and data repositories are validated when first requested.","Requests for privileged access to systems, applications and data repositories are validated when first requested.",
ISM-1511,ISM-1511,Essential8-ML1,Regular backups,"Backups of data, applications and settings are performed and retained in accordance with business criticality and business continuity requirements.","Backups of data, applications and settings are performed and retained in accordance with business criticality and business continuity requirements.",
ISM-1515,ISM-1515,Essential8-ML1,Regular backups,"Restoration of data, applications and settings from backups to a common point in time is tested as part of disaster recovery exercises.","Restoration of data, applications and settings from backups to a common point in time is tested as part of disaster recovery exercises.",
ISM-1585,ISM-1585,Essential8-ML1,User application hardening,Web browser security settings cannot be changed by users.,Web browser security settings cannot be changed by users.,
ISM-1654,ISM-1654,Essential8-ML1,User application hardening,Internet Explorer 11 is disabled or removed.,Internet Explorer 11 is disabled or removed.,
ISM-1657,ISM-1657,Essential8-ML1,Application control,"Application control restricts the execution of executables, software libraries, scripts, installers, compiled HTML, HTML applications and control panel applets to an organisation-approved set.","Application control restricts the execution of executables, software libraries, scripts, installers, compiled HTML, HTML applications and control panel applets to an organisation-approved set.",
ISM-1671,ISM-1671,Essential8-ML1,Restrict Microsoft Office macros,Microsoft Office macros are disabled for users that do not have a demonstrated business requirement.,Microsoft Office macros are disabled for users that do not have a demonstrated business requirement.,
ISM-1672,ISM-1672,Essential8-ML1,Restrict Microsoft Office macros,Microsoft Office macro antivirus scanning is enabled.,Microsoft Office macro antivirus scanning is enabled.,
ISM-1679,ISM-1679,Essential8-ML1,Multi-factor authentication,"Multi-factor authentication is used to authenticate users to third-party online services that process, store or communicate their organisation's sensitive data.","Multi-factor authentication is used to authenticate users to third-party online services that process, store or communicate their organisation's sensitive data.",
ISM-1680,ISM-1680,Essential8-ML1,Multi-factor authentication,"Multi-factor authentication (where available) is used to authenticate users to third-party online services that process, store or communicate their organisation's non-sensitive data.","Multi-factor authentication (where available) is used to authenticate users to third-party online services that process, store or communicate their organisation's non-sensitive data.",
ISM-1681,ISM-1681,Essential8-ML1,Multi-factor authentication,"Multi-factor authentication is used to authenticate customers to online customer services that process, store or communicate sensitive customer data.","Multi-factor authentication is used to authenticate customers to online customer services that process, store or communicate sensitive customer data.",
ISM-1688,ISM-1688,Essential8-ML1,Restrict administrative privileges,Unprivileged accounts cannot logon to privileged operating environments.,Unprivileged accounts cannot logon to privileged operating environments.,
